Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
36	36	CE8	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
37	37	CE7	C92	C9B	CB7	CAE	CBF	CB2	CFF	C8A	C6C	02E	4A0	C80	C00	C6E	000	000	0	0	000	
38	38	CE7	C90	C9C	CB8	CAF	CBF	CB3	CFF	C8A	C6C	030	49F	C80	C00	C6E	000	000	0	0	000	
39	39	CE7	C90	C9B	CB8	CAF	CBF	CB2	CFF	C89	C6C	030	49F	C80	C00	C6E	000	000	0	0	000	
40	40	CE7	C91	C9B	CB8	CB0	CBF	CB3	D00	C8F	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
41	41	CE7	C90	C9C	CB8	CAF	CBF	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
42	42	CE7	C90	C9D	CB7	CAF	CBF	CB3	CFF	C89	C6C	430	49F	C80	C00	C6E	000	000	0	0	000	
43	43	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8B	C6C	42F	4A0	C80	C00	C6E	000	000	0	0	000	
44	44	CE7	C90	C9B	CB8	CB0	CBF	CB2	CFF	C89	C6C	02E	49E	C80	C00	C6F	000	000	0	0	000	
45	45	CE7	C90	C9C	CB8	CAF	CC1	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
46	46	CE7	C90	C9C	CB7	CAF	CBF	CB2	CFF	C89	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
47	47	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8A	C6C	02F	493	C80	C00	C6E	000	000	0	0	000	
48	48	CE7	C91	C9C	CB8	CAF	CC0	CB2	CFF	C8B	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
49	49	CE7	C90	C9C	CB8	CBE	CBF	CB2	CFF	C8A	C6D	02F	49E	C80	C00	C6E	000	000	0	0	000	
50	50	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
51	51	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8B	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
52	52	CE7	C90	C9C	CB8	CAE	CBF	CB2	CFF	C89	C6C	02F	493	C80	C00	C6E	000	000	0	0	000	
53	53	CE7	C90	C9C	CB9	CAE	CBF	CB2	CFF	C89	C6C	030	4A0	C80	C00	C6E	000	000	0	0	000	
54	54	CE7	C90	C9C	CB8	CAE	CBF	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
55	55	CE7	C90	C9C	CB8	CAE	CBF	CB2	DFF	C89	C6C	02E	49F	C80	C00	C6E	000	000	0	0	000	
56	56	CE8	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
57	57	CE7	C90	C9C	CB7	CAE	CBF	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C6F	000	000	0	0	000	
58	58	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	030	49F	C80	C00	C6F	000	000	0	0	000	
59	59	CE7	C90	C9C	CB8	CAE	CC0	CB2	D01	C89	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
60	60	CE7	C90	C9D	CB7	CAE	CBF	CB2	CF0	C8A	C6C	02F	49F	C80	C00	C73	000	000	0	0	000	
61	61	CE8	C90	C9C	CB8	CAF	CC1	CB3	D00	C89	C6C	030	49F	C80	C00	C6F	000	000	0	0	000	
62	62	CE7	C90	C9C	CB7	CAF	CBF	CB2	CFF	C8A	C6C	02F	493	C80	C00	C6F	000	000	0	0	000	
63	63	CE8	C91	C9C	CB8	CAF	CC0	CB3	CFF	C89	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
64	64	CE7	C90	C9C	CB8	CAF	CC0	CB2	CFF	C89	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
65	65	CE7	C90	C9C	CB8	CAF	CC1	CB2	CFF	C8A	C6C	030	49F	C80	C00	C6E	000	000	0	0	000	
66	66	CE8	C90	C9C	CB8	CAF	CBF	CB2	CFF	C89	C6D	02F	49F	C80	C00	C70	000	000	0	0	000	
67	67	CE7	C90	C9C	CB9	CAF	CBF	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C70	000	000	0	0	000	
68	68	CE7	C91	C9C	CB9	CAF	CC0	CB2	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
69	69	CE7	C90	C9D	CB7	CAF	CBF	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C6F	000	000	0	0	000	
70	70	CE7	C90	C9C	CB7	CAF	CBF	CB2	CFF	C8A	C6C	02E	49E	C80	C00	C6E	000	000	0	0	000	
71	71	CE7	C91	C9C	CB8	CAF	CC0	CB2	D00	C8B	C6C	03F	49E	C80	C00	C6E	000	000	0	0	000	
72	72	CE7	C90	C9C	CB8	CA0	CC1	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
73	73	CE7	C90	C9C	CB8	CAF	CC1	CB2	D01	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
74	74	CE7	C90	C9C	CB7	CAF	CBF	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
75	75	CE8	C90	C9C	CB8	CAF	CC0	CB6	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
76	76	CE8	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8C	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
77	77	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
78	78	CE7	C90	C9C	CB8	CAF	CBF	CB3	CFF	C8A	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
79	79	CE8	C90	C9C	CB8	CAF	CC1	CB3	CFF	C8B	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
80	80	CE7	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
81	81	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
82	82	CE7	C91	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
83	83	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	06F	49F	C80	C00	C6F	000	000	0	0	000	
84	84	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	030	49F	C80	C00	C6F	000	000	0	0	000	
85	85	CE8	C91	C9C	CB8	CAF	CBF	CB3	D00	C8B	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
86	86	CE8	C90	C9C	CB9	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
87	87	CE7	C90	C9C	CB7	CAF	CC0	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
88	88	CE8	C90	C9C	CB8	CAF	CC0	CB3	D01	C8B	C6C	02F	4A0	C80	C00	C73	000	000	0	0	000	
89	89	CE8	C91	C9C	CB7	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
90	90	CE8	C90	C9C	CB7	CAF	CC0	CB6	D00	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
91	91	CE8	C91	C9C	CB7	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
92	92	CE7	C91	C9C	CB7	CAF	CC0	CB3	CFF	C8B	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
93	93	CE7	C91	C9D	CB7	CAF	CC0	CB3	CFF	C8C	C6D	02F	49E	C80	C00	C73	000	000	0	0	000	
94	94	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
95	95	CE8	C92	C9C	CB9	CAF	CC0	CB7	D01	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
96	96	CE7	C91	C9C	CB7	CAF	CC0	CB2	CFF	C8A	C6C	430	49E	C80	C00	C6E	000	000	0	0	000	
97	97	CE7	C90	C9C	CB7	CAF	CC0	CB2	CFF	C89	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
98	98	CE7	C90	C9C	CB8	CAF	CC0	CB2	D01	C8A	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
99	99	CE7	C91	C9C	CB9	CBA	CC0	CB2	D00	C8C	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
100	100	CE7	C91	C9C	CB8	CAF	CC0	CB2	D00	C8A	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
101	101	CE8	C90	C9C	CB8	CAF	CC0	CB2	D00	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
102	102	CE7	C90	C9C	CB7	CAF	CBF	CB2	CFF	C8A	C6C	02E	49E	C80	C00	C6E	000	000	0	0	000	
103	103	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C89	C6C	030	49E	C80	C00	C6E	000	000	0	0	000	
104	104	CE7	C91	C9C	CB8	CAF	CC0	CB2	CFF	C89	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
105	105	CE8	C91	C9C	CB9	CAF	CBF	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
106	106	CE7	C91	C9C	CB8	CAF	CC0	CB2	CFF	C89	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
107	107	CE7	C90	C9D	CB8	CBE	CBF	CB2	CFF	C8A	C6C	431	49E	C80	C00	C6E	000	000	0	0	000	
108	108	CE8	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
109	109	CE8	C90	C9C	CB8	CAF	CC0	CB2	D00	C8B	C6C	02F	4A0	C80	C00	C6F	000	000	0	0	000	
110	110	CE8	C90	C9C	CB7	CAF	CBF	CB2	CFF	C8B	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
111	111	CE8	C91	C9D	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
112	112	CE7	C90	C9D	CB8	CAF	CC1	CB2	CFF	C8B	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
113	113	CE7	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
114	114	CE7	C91	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C6F	000	000	0	0	000	
115	115	CE8	C92	C9C	CB8	CB1	CC0	CB3	CF0	C8A	C6C	02F	4A0	C80	C00	C6F	000	000	0	0	000	
116	116	CE8	C91	C9C	CB8	CB1	CC1	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
117	117	CE8	C91	C9C	CB8	CB0	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
118	118	CE7	C91	C9C	CB8	CB0	CC0	CB7	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
119	119	CE8	C91	C9C	CB8	CB0	CC0	CB3	D01	C8B	C6C	02F	4A0	C80	C00	C6F	000	000	0	0	000	
120	120	CE8	C91	C9C	CB8	CB0	CC0	CB3	D01	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
121	121	CE7	C90	C9C	CB8	CAF	CC1	CB2	CFF	C8B	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
122	122	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
123	123	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
124	124	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
125	125	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	06F	49F	C80	C00	C6F	000	000	0	0	000	
126	126	CE8	C91	C9D	CB8	CB0	CC0	CB3	D00	C8A	C6E	030	49F	C80	C00	C6F	000	000	0	0	000	
127	127	CE8	C91	C9C	CB8	CB0	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
128	128	CE8	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
129	129	CE8	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	493	C80	C00	C6E	000	000	0	0	000	
130	130	CE8	C90	C9C	CB7	CAF	CC1	CB2	CFF	C8A	C6C	02E	49E	C80	C00	C6E	000	000	0	0	000	
131	131	CE8	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	4A0	C80	C00	C6F	000	000	0	0	000	
132	132	CE8	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6D	431	4A0	C80	C00	C6F	000	000	0	0	000	
133	133	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6E	02F	49F	C80	C00	C6F	000	000	0	0	000	
134	134	CE8	C91	C9C	CB9	CAF	CC0	CB3	CFF	C8A	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
135	135	CE8	C91	C9D	CB8	CAF	CC0	CB3	D00	C8A	C6E	02F	49F	C80	C00	C6F	000	000	0	0	000	
136	136	CE7	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
137	137	CE8	C92	C9C	CB8	CAF	CC1	CB3	D00	C8A	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
138	138	CE7	C90	C9C	CB8	CAE	CC0	CB2	CFF	C8A	C6C	02E	49E	C80	C00	C6F	000	000	0	0	000	
139	139	CE7	C91	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
140	140	CE8	C91	C9C	CB8	CAF	CC1	CB3	D00	C8A	C6E	02F	49F	C80	C00	C6F	000	000	0	0	000	
141	141	CE8	C92	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
142	142	CE7	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02E	49F	C80	C00	C6E	000	000	0	0	000	
143	143	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
144	144	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6C	430	49F	C80	C00	C6F	000	000	0	0	000	
145	145	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
146	146	CE7	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
147	147	CE7	C90	C9C	CB8	CAF	CC0	CB2	D00	C8B	C6C	02F	49E	C80	C00	C6E	000	000	0	0	000	
148	148	CE8	C90	C9D	CB8	CAF	CC0	CB3	D01	C8A	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
149	149	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	493	C80	C00	C6F	000	000	0	0	000	
150	150	CE8	C92	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
151	151	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
152	152	CE8	C91	C9C	CB8	CAF	CC0	CB3	D00	C8B	C6C	06F	49F	C80	C00	C6F	000	000	0	0	000	
153	153	CE8	C91	C9D	CB8	CAF	CC1	CB3	D00	C8A	C6E	06F	49F	C80	C00	C6F	000	000	0	0	000	
154	154	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6D	06F	49F	C80	C00	C6F	000	000	0	0	000	
155	155	CE8	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8B	C6C	06F	49F	C80	C00	C6F	000	000	0	0	000	
156	156	CE7	C90	C9B	CB8	CAF	CC0	CB2	CFF	C8A	C6C	06E	49F	C80	C00	C6E	000	000	0	0	000	
157	157	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6D	46F	49F	C80	C00	C70	000	000	0	0	000	
158	158	CE8	C91	C9C	CB8	CAF	CC0	CB2	CFF	C8C	C6C	06F	49F	C80	C00	C70	000	000	0	0	000	
159	159	CE8	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	43F	49F	C80	C00	C6E	000	000	0	0	000	
160	160	CE8	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
161	161	CE8	C91	C9C	CB8	CAF	CC0	CB2	D00	C8B	C6C	02F	49E	C80	C00	C6F	000	000	0	0	000	
162	162	CE8	C90	C9C	CB8	CAF	CC2	CB3	D00	C8A	C6E	06F	49F	C80	C00	C6F	000	000	0	0	000	
163	163	CE8	C90	C9D	CB8	CAF	CC0	CB3	CFF	C8A	C6D	06F	49F	C80	C00	C6F	000	000	0	0	000	
164	164	CE8	C91	C9C	CB8	CAF	CC1	CB3	CFF	C8B	C6C	06F	49F	C80	C00	C70	000	000	0	0	000	
165	165	CE8	C91	C9C	CB9	CB0	CC1	CB3	D00	C8A	C6E	06F	49F	C80	C00	C6F	000	000	0	0	000	
166	166	CE7	C90	C9D	CB8	CAF	CC0	CB3	CFF	C8F	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
167	167	CE8	C90	C9C	CB8	CAF	CC1	CB6	D00	C8A	C6C	02F	49F	C80	C00	C70	000	000	0	0	000	
168	168	CE8	C90	C9C	CB9	CAF	CC0	CB2	D00	C89	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
169	169	CE8	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
170	170	CE8	C90	C9C	CB7	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
171	171	CE8	C91	C9D	CB8	CB0	CC1	CB3	D00	C8B	C6D	02F	4A0	C80	C00	C6F	000	000	0	0	000	
172	172	CE8	C91	C9C	CB8	CAF	CC3	CB3	D00	C8B	C6D	02F	49F	C80	C00	C70	000	000	0	0	000	
173	173	CE8	C90	C9C	CB8	CAF	CC1	CB3	CFF	C8A	C6D	02F	49F	C80	C00	C6E	000	000	0	0	000	
174	174	CE8	C90	C9C	CB8	CAF	CC0	CB3	CF0	C8A	C6C	42F	49F	C80	C00	C6E	000	000	0	0	000	
175	175	CE7	C91	C9D	CB8	CAE	CC0	CB2	CFF	C8A	C6C	02E	493	C80	C00	C6E	000	000	0	0	000	
176	176	CE8	C90	C9D	CB8	CAF	CC0	CB3	D01	C8A	C6C	02F	4A0	C80	C00	C6F	000	000	0	0	000	
177	177	CE7	C90	C9D	CB8	CAF	CC0	CB2	CFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
178	178	CE7	C90	C9D	CB7	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
179	179	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
180	180	CE8	C90	C9D	CB8	CAF	CC0	CB3	D01	C8A	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
181	181	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
182	182	CE8	C90	C9C	CB8	CB0	CC0	CB3	CFF	C8A	C6D	02F	49F	C80	C00	C6F	000	000	0	0	000	
183	183	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6D	02F	49F	C80	C00	C6E	000	000	0	0	000	
184	184	CE8	C90	C9C	CB8	CB0	CC0	CB3	D00	C8A	C6D	06F	49F	C80	C00	C6F	000	000	0	0	000	
185	185	CE8	C91	C9E	CB9	CB0	CC1	CB3	D01	C8B	C6D	06F	4A0	C80	C00	C6F	000	000	0	0	000	
186	186	CE7	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8B	C6C	06E	49F	C80	C00	C6E	000	000	0	0	000	
187	187	CE8	C90	C9C	CB8	CAF	CC0	CB3	D00	C8A	C6D	06F	49F	C80	C00	C6F	000	000	0	0	000	
188	188	CE8	C91	C9D	CB9	CB1	CC1	CB3	D00	C8B	C6D	06F	4A0	C80	C00	C6F	000	000	0	0	000	
189	189	CE7	C91	C9D	CB8	CAF	CC0	CB2	CFF	C8C	C6C	06E	4A0	C80	C00	C6E	000	000	0	0	000	
190	190	CE7	C90	C9C	CB8	CAF	CC0	CB2	CFF	C8A	C6C	027	49F	C80	C00	C73	000	000	0	0	000	
191	191	CE7	C90	C9C	CB8	CAF	CC0	CB7	CFF	C8A	C6C	02E	49F	C80	C00	C6E	000	000	0	0	000	
192	192	CE7	C91	C9C	CB8	CAF	CC0	CB3	CFF	C8B	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
193	193	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6D	02F	49F	C80	C00	C6E	000	000	0	0	000	
194	194	CE8	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
195	195	CE8	C90	C9C	CB8	CAF	CC0	CB7	CFF	C8C	C6C	030	49F	C80	C00	C6F	000	000	0	0	000	
196	196	CE8	C90	C9D	CB8	CB0	CC1	CB3	D00	C8A	C6C	02F	49F	C80	C00	C6F	000	000	0	0	000	
197	197	CE7	C90	C9C	CB8	CAF	CC0	CB3	CFF	C8A	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
