Sample in Buffer	Sample in Window	counter17	counter16	counter15	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	pufout	mux1_out	clockcounter_out
0	0	CE6	C8F	C9B	CB7	CAE	CBE	CB1	CFE	C8A	C6B	02E	49F	C80	C00	C6D	000	000	0	0	000	
1	1	CE7	C8F	C9D	CB8	CAF	CBF	CB2	CFF	C8A	C6C	02E	4A0	C80	C00	C6D	000	000	0	0	000	
2	2	CE6	C90	C9B	CB8	CB0	CBF	CB2	CFE	C89	C6D	02E	49F	C80	C00	C6D	000	000	0	0	000	
3	3	CE7	C8F	C9B	CB8	CAF	CBF	CB2	CFE	C8A	C6C	02E	49F	C80	C00	C6D	000	000	0	0	000	
4	4	CE7	C90	C9B	CB8	CBA	CBE	CB2	CFE	C89	C6D	02E	49F	C80	C00	C6E	000	000	0	0	000	
5	5	CE7	C90	C9B	CB8	CAF	CC0	CB3	CFE	C89	C6D	02F	49E	C80	C00	C6D	000	000	0	0	000	
6	6	CE7	C91	C9C	CB8	CAF	CBF	CB2	DFF	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
7	7	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8A	C6C	02F	49E	C80	C00	C6D	000	000	0	0	000	
8	8	CE6	C8F	C9B	CB7	CAF	CBE	CB2	CFE	C8A	C6B	02E	49E	C80	C00	C6D	000	000	0	0	000	
9	9	CEB	C90	C9C	CB7	CAE	CBF	CB2	CFE	C8A	C6B	06E	49E	C80	C00	C6D	000	000	0	0	000	
10	10	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C89	C6D	06E	49F	C80	C00	C6E	000	000	0	0	000	
11	11	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8A	C6C	06F	49F	C80	C00	C6E	000	000	0	0	000	
12	12	CE7	C90	C9C	CB9	CAF	CBF	CB2	CFF	C8A	C6D	02E	49F	C80	C00	C6E	000	000	0	0	000	
13	13	CE7	C90	C9C	CB8	CAF	CBF	CB3	CFF	C8A	C6C	02E	49F	C80	C00	C6E	000	000	0	0	000	
14	14	CE7	C90	C9C	CB8	CAF	CBF	CB3	D00	C89	C6C	02E	49F	C80	C00	C6E	000	000	0	0	000	
15	15	CE6	C90	C9B	CB8	CAF	CBF	CB2	CFF	C8A	C6C	02E	49F	C80	C00	C6D	000	000	0	0	000	
16	16	CE7	C90	C9C	CB8	CB0	CC0	CB6	CFF	C89	C6C	02E	49F	C80	C00	C6E	000	000	0	0	000	
17	17	CE6	C90	C9B	CB8	CAE	CBF	CB2	D00	C8A	C6C	02E	49F	C80	C00	C6D	000	000	0	0	000	
18	18	CE7	C90	C9C	CB8	CAE	CBF	CB2	CFF	C8A	C6C	06E	49F	C80	C00	C6E	000	000	0	0	000	
19	19	CE7	C90	C9D	CB8	CAF	CC0	CB2	CFE	C89	C6C	06E	49F	C80	C00	C6E	000	000	0	0	000	
20	20	CE7	C91	C9C	CB9	CAE	CBF	CB3	CFF	C8A	C6D	06E	49F	C80	C00	C6E	000	000	0	0	000	
21	21	CE7	C90	C9C	CB8	CB0	CBF	CB2	CFF	C8A	C6C	06E	49F	C80	C00	C6E	000	000	0	0	000	
22	22	CE7	C90	C9C	CB8	CB8	CBF	CB2	CFF	C8A	C6C	06E	4A0	C80	C00	C6E	000	000	0	0	000	
23	23	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8B	C6C	06E	49F	C80	C00	C6E	000	000	0	0	000	
24	24	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C8A	C6C	06F	49F	C80	C00	C6E	000	000	0	0	000	
25	25	CE7	C90	C9C	CB8	CAF	CBF	CB3	CFF	C8A	C6C	06F	49F	C80	C00	C6E	000	000	0	0	000	
26	26	CE6	C91	C9B	CB7	CAE	CC0	CB2	CFE	C8A	C6C	06E	49E	C80	C00	C6E	000	000	0	0	000	
27	27	CE7	C90	C9C	CB8	CAF	CBF	CB2	CFF	C89	C6C	06F	49F	C80	C00	C6E	000	000	0	0	000	
28	28	CE7	C90	C9C	CB8	CAE	CBF	CB2	CFF	C89	C6C	03F	49E	C80	C00	C6E	000	000	0	0	000	
29	29	CE7	C90	C9D	CB8	CB0	CBF	CB3	CFF	C8A	C6C	02F	4A0	C80	C00	C6E	000	000	0	0	000	
30	30	CE7	C90	C9C	CB7	CAE	CBF	CB2	CFF	C89	C6C	02E	49E	C80	C00	C6E	000	000	0	0	000	
31	31	CE7	C90	C9B	CB7	CAE	CBF	CB2	CFF	C8A	C6D	02E	49E	C80	C00	C6E	000	000	0	0	000	
32	32	CE7	C90	C9C	CB7	CAE	CBF	CB2	D00	C89	C6C	02F	493	C80	C00	C6E	000	000	0	0	000	
33	33	CE8	C90	C9C	CB9	CAF	CC0	CB3	D00	C8A	C6D	02F	4A0	C80	C00	C6F	000	000	0	0	000	
34	34	CE7	C90	C9C	CB8	CAF	CC0	CB2	C00	C8A	C6C	02F	49F	C80	C00	C6E	000	000	0	0	000	
35	35	CE7	C90	C9D	CB8	CAF	CBF	CB3	CFF	C8B	C6D	02F	49F	C80	C00	C6E	000	000	0	0	000	
