Sample in Buffer	Sample in Window	counter14	counter13	counter12	counter11	counter10	counter9	counter8	counter7	counter6	counter5	counter4	counter3	counter2	counter1	counter0	pufout	mux1_out	clockcounter_out
75	75	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	000	
76	76	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	000	
77	77	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	000	
78	78	0	1	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1	000	
79	79	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	000	
80	80	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	000	
81	81	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	1	000	
82	82	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	000	
83	83	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	000	
84	84	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	000	
85	85	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	000	
86	86	1	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	000	
87	87	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	000	
88	88	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	000	
89	89	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	000	
90	90	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	000	
91	91	1	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	000	
92	92	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	000	
93	93	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	000	
94	94	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	000	
95	95	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	000	
96	96	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	000	
97	97	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	000	
98	98	1	0	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	000	
99	99	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	000	
100	100	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	000	
101	101	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	000	
102	102	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	000	
103	103	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	000	
104	104	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	000	
105	105	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	1	000	
106	106	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	000	
107	107	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	000	
108	108	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	000	
109	109	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	000	
110	110	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	1	000	
111	111	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	000	
112	112	0	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	000	
113	113	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	000	
114	114	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	000	
115	115	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	000	
116	116	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	000	
117	117	1	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	000	
118	118	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	000	
119	119	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	000	
120	120	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	000	
121	121	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	000	
122	122	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	000	
123	123	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	000	
124	124	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	000	
125	125	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	000	
126	126	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	000	
127	127	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	000	
128	128	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	000	
129	129	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	000	
130	130	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	000	
131	131	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	000	
132	132	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	000	
133	133	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	000	
134	134	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	000	
135	135	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	000	
136	136	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	000	
137	137	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	000	
138	138	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	000	
139	139	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	000	
140	140	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	000	
141	141	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	000	
142	142	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	000	
143	143	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	000	
144	144	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	000	
145	145	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	000	
146	146	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	000	
147	147	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	000	
148	148	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	000	
149	149	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	000	
150	150	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	000	
151	151	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	000	
152	152	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	000	
153	153	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	000	
154	154	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	000	
155	155	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	000	
156	156	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	000	
157	157	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	000	
158	158	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	000	
159	159	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	000	
160	160	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	000	
161	161	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	000	
162	162	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	000	
163	163	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	000	
164	164	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	000	
165	165	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	000	
166	166	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	000	
167	167	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	000	
168	168	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	000	
